unemployed,ANYWORK,education_level,latino,race,home_food_costs,outside_food_costs,housing_status,LIVQTR,owe_backrent,owe_backmortgage,expect_eviction,income_bracket,expect_foreclosure,use_credit_cards,weight
2,2,6,1,1,200.0,50.0,1,7,77,77,77,1,77,1,167.5928172
2,1,3,2,1,186.50878955549945,80.75489671399761,1,5,77,77,77,5,77,1,420.19404469
2,1,7,1,1,200.0,0.0,3,3,1,77,3,7,77,1,51.796716957
2,1,6,1,1,125.0,60.0,3,9,1,77,2,7,77,1,93.047593504
2,1,6,1,2,150.0,50.0,2,2,77,1,77,8,3,1,133.03419262
2,1,7,1,1,250.0,75.0,2,2,77,1,77,8,3,1,54.069355693
2,2,4,1,4,186.50878955549945,80.75489671399761,3,1,2,77,1,5,77,1,150.97080221
2,2,7,1,2,65.0,0.0,3,9,1,77,2,1,77,1,107.8796218
2,1,6,1,2,100.0,100.0,1,2,77,77,77,6,77,1,79.743425153
1,1,4,1,2,150.0,20.0,1,9,77,77,77,4,77,1,81.006254031
2,1,7,2,1,350.0,100.0,2,6,77,1,77,8,3,1,79.416093158
1,2,4,1,2,150.0,50.0,4,5,77,77,77,2,77,1,256.78216107
2,2,6,2,1,300.0,0.0,1,2,77,77,77,8,77,1,64.227511174
2,1,2,1,2,189.0,340.0,3,6,1,77,2,6,77,1,738.93752621
1,2,7,1,1,215.0,50.0,2,2,77,1,77,8,3,1,80.389594947
2,2,3,1,2,100.0,20.0,1,4,77,77,77,5,77,1,891.08127574
2,1,6,1,1,200.0,100.0,1,9,77,77,77,7,77,1,80.389594947
1,1,6,2,1,250.0,25.0,3,7,1,77,2,5,77,1,78.319906896
1,1,7,1,1,50.0,100.0,3,9,1,77,2,7,77,1,93.047593504
2,1,7,2,1,100.0,20.0,3,9,1,77,2,7,77,1,65.136620433
2,1,7,1,1,200.0,100.0,1,5,77,77,77,5,77,1,57.77454569
2,1,7,1,1,100.0,0.0,2,9,77,1,77,6,2,1,93.047593504
2,1,6,1,1,30.0,20.0,3,9,1,77,2,4,77,1,54.069355693
2,1,7,1,2,105.0,50.0,3,3,1,77,3,6,77,1,2370.2597042
1,2,6,2,1,189.227868327961,83.76211784231891,2,8,77,1,77,6,3,1,869.31771427
1,1,3,1,2,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,335.90647223
1,1,7,1,1,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,54.069355693
1,1,4,1,2,186.50878955549945,80.75489671399761,1,3,77,77,77,5,77,1,174.83785779
2,1,7,1,2,200.0,0.0,1,5,77,77,77,5,77,1,79.743425153
2,2,5,1,2,50.0,20.0,3,8,1,77,2,1,77,1,183.87281211
1,2,7,1,1,300.0,50.0,2,2,77,1,77,6,3,1,93.047593504
2,1,7,1,1,500.0,200.0,2,2,77,1,77,6,3,1,54.069355693
2,2,7,1,2,60.0,10.0,2,9,77,2,77,3,3,1,133.03419262
2,2,6,2,1,300.0,0.0,1,7,77,77,77,7,77,1,100.52497169
2,1,7,1,1,300.0,100.0,2,2,77,1,77,8,3,1,93.047593504
2,1,7,1,2,250.0,25.0,3,2,1,77,3,4,77,1,133.03419262
2,1,7,1,2,150.0,200.0,1,6,77,77,77,6,77,1,133.03419262
2,1,6,1,1,186.50878955549945,80.75489671399761,3,6,1,77,2,5,77,1,112.08289325
2,1,7,1,1,300.0,60.0,1,2,77,77,77,8,77,1,646.85154191
2,1,7,1,1,140.0,0.0,3,7,1,77,2,7,77,1,161.30341919
2,1,6,1,1,100.0,140.0,2,8,77,1,77,8,3,1,156.86846997
1,1,6,1,3,100.0,30.0,3,9,1,77,2,2,77,1,601.45892331
2,1,7,1,2,130.0,55.0,1,3,77,77,77,5,77,1,107.8796218
2,2,2,1,2,300.0,50.0,1,2,77,77,77,6,77,1,762.46048398
1,1,4,1,1,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,137.01810073
2,1,7,1,1,300.0,170.0,2,2,77,1,77,7,3,1,51.796716957
2,1,7,1,2,400.0,400.0,2,9,77,1,77,8,2,1,108.61604004
2,1,7,1,3,200.0,100.0,3,8,1,77,3,8,77,1,181.68687756
2,1,7,1,1,180.0,300.0,2,3,77,1,77,8,3,1,55.157586462
2,2,6,1,1,120.0,100.0,1,9,77,77,77,7,77,1,80.389594947
2,2,7,1,1,250.0,0.0,1,2,77,77,77,6,77,1,55.806555255
1,2,7,1,1,70.0,25.0,3,9,1,77,2,4,77,1,80.389594947
1,2,2,1,2,155.77916356258842,46.76446854918348,3,9,1,77,2,1,77,1,721.08245031
2,1,5,1,2,186.50878955549945,80.75489671399761,1,2,77,77,77,5,77,1,204.64892199
2,1,7,1,1,150.0,200.0,2,9,77,1,77,4,2,1,87.829654772
1,2,6,1,1,60.0,200.0,1,2,77,77,77,4,77,1,40.414232465
2,1,7,1,1,50.0,25.0,3,9,1,77,2,6,77,1,51.796716957
2,1,7,2,1,500.0,300.0,2,3,77,1,77,8,3,1,562.65362812
2,1,7,1,1,250.0,200.0,2,3,77,1,77,8,3,1,312.35781777
2,1,6,1,1,100.0,60.0,3,9,1,77,2,5,77,1,143.84603546
2,2,5,1,2,75.0,50.0,2,3,77,1,77,4,3,1,354.77081789
2,1,7,1,1,115.0,20.0,2,3,77,1,77,5,3,1,295.20799737
1,2,6,1,2,80.0,11.0,1,2,77,77,77,6,77,1,107.8796218
2,1,7,1,1,100.0,200.0,2,3,77,1,77,8,3,1,40.414232465
1,2,6,2,1,390.0,390.0,1,9,77,77,77,5,77,1,54.391850865
2,1,4,1,2,186.50878955549945,80.75489671399761,1,5,77,77,77,5,77,1,252.89593777
2,1,7,1,1,350.0,100.0,2,3,77,1,77,8,3,1,51.796716957
2,2,6,1,2,75.0,35.0,1,2,77,77,77,7,77,1,107.8796218
1,2,6,1,1,250.0,80.0,3,2,1,77,3,7,77,1,52.742529497
